Team,Home,Win,Opp,Diff,Game,Year,Week
Eagles,1,,Cardinals,,5,2018,5
Eagles,0,,Panthers,,6,2018,6
Eagles,1,,Redskins,,7,2018,7
Eagles,1,,49ers,,8,2018,8
Eagles,1,,Broncos,,9,2018,9
Eagles,0,,Cowboys,,10,2018,11
Eagles,1,,Bears,,11,2018,12
Eagles,0,,Seahawks,,12,2018,13
Eagles,0,,Rams,,13,2018,14
Eagles,0,,Giants,,14,2018,15
Eagles,1,,Raiders,,15,2018,16
Eagles,1,,Cowboys,,16,2018,17
Falcons,0,,Bears,,1,2018,1
Falcons,1,,Packers,,2,2018,2
Falcons,0,,Lions,,3,2018,3
Falcons,1,,Bills,,4,2018,4
Falcons,1,,Dolphins,,5,2018,6
Falcons,0,,Patriots,,6,2018,7
Falcons,0,,Jets,,7,2018,8
Falcons,0,,Panthers,,8,2018,9
Falcons,1,,Cowboys,,9,2018,10
Falcons,0,,Seahawks,,10,2018,11
Falcons,1,,Buccaneers,,11,2018,12
Falcons,1,,Vikings,,12,2018,13
Falcons,1,,Saints,,13,2018,14
Falcons,0,,Buccaneers,,14,2018,15
Falcons,0,,Saints,,15,2018,16
Falcons,1,,Panthers,,16,2018,17
Giants,0,,Cowboys,,1,2018,1
Giants,1,,Lions,,2,2018,2
Giants,0,,Eagles,,3,2018,3
Giants,0,,Buccaneers,,4,2018,4
Giants,1,,Chargers,,5,2018,5
Giants,0,,Broncos,,6,2018,6
Giants,1,,Seahawks,,7,2018,7
Giants,1,,Rams,,8,2018,9
Giants,0,,49ers,,9,2018,10
Giants,1,,Chiefs,,10,2018,11
Giants,0,,Redskins,,11,2018,12
Giants,0,,Raiders,,12,2018,13
Giants,1,,Cowboys,,13,2018,14
Giants,1,,Eagles,,14,2018,15
Giants,0,,Cardinals,,15,2018,16
Giants,1,,Redskins,,16,2018,17
Jaguars,0,,Texans,,1,2018,1
Jaguars,1,,Titans,,2,2018,2
Jaguars,1,,Ravens,,3,2018,3
Jaguars,0,,Jets,,4,2018,4
Jaguars,0,,Steelers,,5,2018,5
Jaguars,1,,Rams,,6,2018,6
Jaguars,0,,Colts,,7,2018,7
Jaguars,1,,Bengals,,8,2018,9
Jaguars,1,,Chargers,,9,2018,10
Jaguars,0,,Browns,,10,2018,11
Jaguars,0,,Cardinals,,11,2018,12
Jaguars,1,,Colts,,12,2018,13
Jaguars,1,,Seahawks,,13,2018,14
Jaguars,1,,Texans,,14,2018,15
Jaguars,0,,49ers,,15,2018,16
Jaguars,0,,Titans,,16,2018,17
Jets,0,,Bills,,1,2018,1
Jets,0,,Raiders,,2,2018,2
Jets,1,,Dolphins,,3,2018,3
Jets,1,,Jaguars,,4,2018,4
Jets,0,,Browns,,5,2018,5
Jets,1,,Patriots,,6,2018,6
Jets,0,,Dolphins,,7,2018,7
Jets,1,,Falcons,,8,2018,8
Jets,1,,Bills,,9,2018,9
Jets,0,,Buccaneers,,10,2018,10
Jets,1,,Panthers,,11,2018,12
Jets,1,,Chiefs,,12,2018,13
Jets,0,,Broncos,,13,2018,14
Jets,0,,Saints,,14,2018,15
Jets,1,,Chargers,,15,2018,16
Jets,0,,Patriots,,16,2018,17
Lions,1,,Cardinals,,1,2018,1
Lions,0,,Giants,,2,2018,2
Lions,1,,Falcons,,3,2018,3
Lions,0,,Vikings,,4,2018,4
Lions,1,,Panthers,,5,2018,5
Lions,0,,Saints,,6,2018,6
Lions,1,,Steelers,,7,2018,8
Lions,0,,Packers,,8,2018,9
Lions,1,,Browns,,9,2018,10
Lions,0,,Bears,,10,2018,11
Lions,1,,Vikings,,11,2018,12
Lions,0,,Ravens,,12,2018,13
Lions,0,,Buccaneers,,13,2018,14
Lions,1,,Bears,,14,2018,15
Lions,0,,Bengals,,15,2018,16
Lions,1,,Packers,,16,2018,17
Packers,1,,Seahawks,,1,2018,1
Packers,0,,Falcons,,2,2018,2
